,Allgemein,Bewegung,Gefuehl,Geist,Gesellschaft,Koerper,Menge,Ort,Pertonym,Perzeption,Relation,Substanz,Verhalten,Zeit,natPhaenomen,privativ
0,leicht,leicht,leicht,schnell,arm,stramm,arm,gerade,redaktionell,rot,leicht,leicht,stramm,jung,feucht,
1,klein,steif,arm,hochintelligent,rot,krank,beide,weit,,leuchtend,getan,stramm,gewollt,weit,strahlend,
2,unglaublich,ungelenk,verbissen,hell,besser,wund,drei,kurz,,dunkel,unglaublich,elastisch,bequem,kurz,,
3,schwarz,fest,dunkel,,genannt,gesund,gerade,lang,,gelb,global,steif,stark,geschwind,,
4,ziemlich,elegant,grau,,hoch,schlank,ein,global,,grau,klein,fest,dick,lang,,
5,stark,sanft,ernst,,schwarz,kurz,tausend,hoch,,blau,schwarz,wollen,eigen,alt,,
6,recht,,fest,,braun,gekleidet,einfach,entfernt,,hellgrau,ziemlich,schwarz,elastisch,aus,,
7,eigen,,interessiert,,recht,lang,gut,schnurgerade,,hoch,verwandt,taub,einfach,endlos,,
8,gut,,bequem,,,grau,zehn,schroff,,schwarz,eigen,stark,gut,vorbei,,
9,richtig,,gleich,,,aufrecht,viele,endlos,,hell,einfach,dick,gelassen,fest,,
10,hoch,,schwarz,,,blau,viel,recht,,braun,einzig,feucht,ungelenk,klein,,
11,komisch,,traurig,,,elegant,hoch,,,kariert,richtig,,nachdenklich,schnell,,
12,dunkel,,strahlend,,,hell,halb,,,,ernst,,elegant,langsam,,
13,kurz,,komisch,,,taub,all,,,,gleich,,entschlossen,uniform,,
14,verdammt,,allein,,,stark,kein,,,,gerade,,ergeben,in,,
15,sanft,,schroff,,,dick,weiter,,,,gesund,,schlicht,neu,,
16,besser,,bewegt,,,braun,alle,,,,schneebedeckt,,fest,,,
17,ganz,,recht,,,,,,,,schlicht,,sanft,,,
18,steif,,,,,,,,,,brennend,,langsam,,,
19,wirklich,,,,,,,,,,ganz,,steif,,,
20,traurig,,,,,,,,,,gleichnamig,,verbissen,,,
21,nett,,,,,,,,,,akkurat,,nett,,,
22,,,,,,,,,,,zusammen,,aufrecht,,,
23,,,,,,,,,,,halb,,,,,
24,,,,,,,,,,,entfernt,,,,,
25,,,,,,,,,,,wirklich,,,,,
26,,,,,,,,,,,strahlend,,,,,
27,,,,,,,,,,,allein,,,,,
28,,,,,,,,,,,schroff,,,,,
